area_codes,westminster_parliamentary_constituency,BUS_heatpumps_per_pc
E14001101,Bishop Auckland,150
E14001106,Blaydon and Consett,78
E14001107,Blyth and Ashington,49
E14001173,City of Durham,140
E14001183,Cramlington and Killingworth,69
E14001190,Darlington,91
E14001211,Easington,90
E14001244,Gateshead Central and Whickham,44
E14001272,Hartlepool,68
E14001285,Hexham,301
E14001295,Houghton and Sunderland South,56
E14001307,Jarrow and Gateshead East,25
E14001367,Middlesbrough and Thornaby East,37
E14001368,Middlesbrough South and East Cleveland,95
E14001377,Newcastle upon Tyne Central and West,61
E14001378,Newcastle upon Tyne East and Wallsend,63
E14001379,Newcastle upon Tyne North,92
E14001382,Newton Aycliffe and Spennymoor,86
E14001389,North Durham,55
E14001397,North Northumberland,305
E14001440,Redcar,51
E14001492,South Shields,26
E14001518,Stockton North,60
E14001519,Stockton West,94
E14001531,Sunderland Central,37
E14001557,Tynemouth,83
E14001567,Washington and Gateshead South,43
E14001065,Altrincham and Sale West,92
E14001070,Ashton-under-Lyne,31
E14001076,Barrow and Furness,137
E14001091,Birkenhead,39
E14001102,Blackburn,30
E14001103,Blackley and Middleton South,48
E14001104,Blackpool North and Fleetwood,48
E14001105,Blackpool South,30
E14001110,Bolton North East,47
E14001111,Bolton South and Walkden,30
E14001112,Bolton West,73
E14001113,Bootle,28
E14001142,Burnley,33
E14001144,Bury North,67
E14001145,Bury South,66
E14001152,Carlisle,112
E14001158,Cheadle,89
E14001163,Chester North and Neston,144
E14001164,Chester South and Eddisbury,385
E14001170,Chorley,144
E14001178,Congleton,159
E14001185,Crewe and Nantwich,95
E14001222,Ellesmere Port and Bromborough,44
E14001242,Fylde,97
E14001251,Gorton and Denton,40
E14001277,Hazel Grove,111
E14001286,Heywood and Middleton North,52
E14001299,Hyndburn,48
E14001317,Knowsley,33
E14001318,Lancaster and Wyre,125
E14001329,Leigh and Atherton,60
E14001337,Liverpool Garston,52
E14001338,Liverpool Riverside,7
E14001339,Liverpool Walton,29
E14001340,Liverpool Wavertree,36
E14001341,Liverpool West Derby,28
E14001347,Macclesfield,218
E14001350,Makerfield,45
E14001352,Manchester Central,26
E14001353,Manchester Rusholme,40
E14001354,Manchester Withington,110
E14001361,Mid Cheshire,101
E14001372,Morecambe and Lunesdale,218
E14001415,Oldham East and Saddleworth,48
E14001416,"Oldham West, Chadderton and Royton",32
E14001422,Pendle and Clitheroe,96
E14001424,Penrith and Solway,249
E14001433,Preston,55
E14001443,Ribble Valley,194
E14001446,Rochdale,51
E14001450,Rossendale and Darwen,102
E14001455,Runcorn and Helsby,99
E14001459,Salford,52
E14001463,Sefton Central,78
E14001491,South Ribble,158
E14001504,Southport,70
E14001509,St Helens North,56
E14001510,St Helens South and Whiston,43
E14001515,Stalybridge and Hyde,55
E14001517,Stockport,52
E14001528,Stretford and Urmston,91
E14001539,Tatton,219
E14001561,Wallasey,41
E14001564,Warrington North,82
E14001565,Warrington South,77
E14001577,West Lancashire,124
E14001580,Westmorland and Lonsdale,460
E14001583,Whitehaven and Workington,81
E14001584,Widnes and Halewood,48
E14001585,Wigan,48
E14001589,Wirral West,115
E14001598,Worsley and Eccles,74
E14001602,Wythenshawe and Sale East,60
E14001074,Barnsley North,73
E14001075,Barnsley South,92
E14001087,Beverley and Holderness,188
E14001118,Bradford East,27
E14001119,Bradford South,64
E14001120,Bradford West,27
E14001127,Bridlington and The Wolds,223
E14001128,Brigg and Immingham,150
E14001147,Calder Valley,172
E14001177,Colne Valley,184
E14001196,Dewsbury and Batley,58
E14001198,Doncaster Central,103
E14001199,Doncaster East and the Isle of Axholme,184
E14001200,Doncaster North,125
E14001250,Goole and Pocklington,230
E14001255,Great Grimsby and Cleethorpes,118
E14001262,Halifax,82
E14001269,Harrogate and Knaresborough,164
E14001297,Huddersfield,88
E14001308,Keighley and Ilkley,156
E14001313,Kingston upon Hull East,40
E14001314,Kingston upon Hull North and Cottingham,80
E14001315,Kingston upon Hull West and Haltemprice,64
E14001319,Leeds Central and Headingley,65
E14001320,Leeds East,64
E14001321,Leeds North East,149
E14001322,Leeds North West,141
E14001323,Leeds South,44
E14001324,Leeds South West and Morley,74
E14001325,Leeds West and Pudsey,65
E14001383,Normanton and Hemsworth,105
E14001418,Ossett and Denby Dale,130
E14001423,Penistone and Stocksbridge,145
E14001428,"Pontefract, Castleford and Knottingley",93
E14001436,Rawmarsh and Conisbrough,80
E14001444,Richmond and Northallerton,308
E14001451,Rother Valley,123
E14001452,Rotherham,92
E14001461,Scarborough and Whitby,175
E14001462,Scunthorpe,119
E14001464,Selby,248
E14001466,Sheffield Brightside and Hillsborough,60
E14001467,Sheffield Central,78
E14001468,Sheffield Hallam,247
E14001469,Sheffield Heeley,112
E14001470,Sheffield South East,59
E14001472,Shipley,144
E14001475,Skipton and Ripon,393
E14001506,Spen Valley,80
E14001544,Thirsk and Malton,389
E14001560,Wakefield and Rothwell,89
E14001582,Wetherby and Easingwold,350
E14001604,York Central,139
E14001605,York Outer,236
E14001066,Amber Valley,132
E14001068,Ashfield,102
E14001079,Bassetlaw,220
E14001109,Bolsover,164
E14001114,Boston and Skegness,210
E14001140,Broxtowe,151
E14001165,Chesterfield,94
E14001179,Corby and East Northamptonshire,207
E14001192,Daventry,337
E14001193,Derby North,93
E14001194,Derby South,76
E14001195,Derbyshire Dales,378
E14001228,Erewash,90
E14001243,Gainsborough,332
E14001245,Gedling,128
E14001253,Grantham and Bourne,237
E14001266,"Harborough, Oadby and Wigston",132
E14001287,High Peak,188
E14001288,Hinckley and Bosworth,188
E14001311,Kettering,136
E14001326,Leicester East,56
E14001327,Leicester South,36
E14001328,Leicester West,48
E14001336,Lincoln,123
E14001342,Loughborough,152
E14001343,Louth and Horncastle,305
E14001355,Mansfield,88
E14001357,Melton and Syston,200
E14001362,Mid Derbyshire,169
E14001364,Mid Leicestershire,120
E14001375,Newark,375
E14001391,North East Derbyshire,171
E14001404,North West Leicestershire,183
E14001406,Northampton North,44
E14001407,Northampton South,82
E14001410,Nottingham East,77
E14001411,Nottingham North and Kimberley,67
E14001412,Nottingham South,71
E14001457,Rushcliffe,227
E14001458,Rutland and Stamford,255
E14001471,Sherwood Forest,172
E14001476,Sleaford and North Hykeham,306
E14001483,South Derbyshire,178
E14001487,South Holland and The Deepings,197
E14001488,South Leicestershire,186
E14001490,South Northamptonshire,270
E14001571,Wellingborough and Rushden,119
E14001064,Aldridge-Brownhills,46
E14001092,Birmingham Edgbaston,38
E14001093,Birmingham Erdington,25
E14001094,Birmingham Hall Green and Moseley,36
E14001095,Birmingham Hodge Hill and Solihull North,19
E14001096,Birmingham Ladywood,14
E14001097,Birmingham Northfield,48
E14001098,Birmingham Perry Barr,29
E14001099,Birmingham Selly Oak,47
E14001100,Birmingham Yardley,18
E14001138,Bromsgrove,123
E14001143,Burton and Uttoxeter,141
E14001150,Cannock Chase,58
E14001180,Coventry East,52
E14001181,Coventry North West,60
E14001182,Coventry South,67
E14001203,Droitwich and Evesham,236
E14001204,Dudley,34
E14001261,Halesowen,33
E14001281,Hereford and South Herefordshire,287
E14001309,Kenilworth and Southam,281
E14001316,Kingswinford and South Staffordshire,69
E14001335,Lichfield,160
E14001358,Meriden and Solihull East,98
E14001380,Newcastle-under-Lyme,90
E14001395,North Herefordshire,350
E14001398,North Shropshire,264
E14001400,North Warwickshire and Bedworth,81
E14001413,Nuneaton,82
E14001441,Redditch,85
E14001453,Rugby,149
E14001473,Shrewsbury,157
E14001478,Smethwick,36
E14001479,Solihull West and Shirley,59
E14001493,South Shropshire,409
E14001513,Stafford,194
E14001514,Staffordshire Moorlands,143
E14001520,Stoke-on-Trent Central,37
E14001521,Stoke-on-Trent North,56
E14001522,Stoke-on-Trent South,80
E14001523,"Stone, Great Wyrley and Penkridge",133
E14001524,Stourbridge,26
E14001526,Stratford-on-Avon,295
E14001535,Sutton Coldfield,74
E14001538,Tamworth,93
E14001541,Telford,78
