PCON24CD,damage_cost_central,damage_cost_low,damage_cost_high
E14001163,27608.372,3370.44,96893.85571428572
E14001164,13227.446,1981.92,45367.67071428572
E14001165,30017,3603,105523.85714285714
E14001166,23688.448,2991.9599999999996,82848.95142857142
E14001167,70132.5,7481,249244
E14001168,26002.62,3215.3999999999996,91140.52142857143
E14001169,70132.5,7481,249244
E14001170,23830.131999999998,3005.6400000000003,83356.59857142856
E14001171,27277.775999999998,3338.52,95709.34571428571
E14001172,70132.5,7481,249244
E14001173,20665.856,2700.12,72019.14571428571
E14001174,25412.27,3158.4,89025.325
E14001175,70132.5,7481,249244
E14001176,29993.386000000002,3600.7200000000003,105439.2492857143
E14001177,25459.498,3162.96,89194.54071428571
E14001178,24727.464,3092.2799999999997,86571.69714285713
E14001179,22484.134,2875.6799999999994,78533.9507142857
E14001180,30017,3603,105523.85714285714
E14001181,29875.316000000006,3589.3200000000006,105016.21
E14001182,30017,3603,105523.85714285714
E14001183,25412.27,3158.4,89025.325
E14001184,30017,3603,105523.85714285714
E14001185,28245.95,3432,99178.26785714286
E14001186,70132.5,7481,249244
E14001187,70132.5,7481,249244
E14001188,70132.5,7481,249244
E14001189,70132.5,7481,249244
E14001190,29096.054,3514.08,102224.15071428572
E14001191,28576.546000000002,3463.92,100362.77785714286
E14001192,15045.724,2157.48,51882.47571428571
E14001193,30017,3603,105523.85714285714
E14001194,30017,3603,105523.85714285714
E14001195,10747.976000000002,1742.5200000000002,36483.84571428572
E14001196,29143.282,3518.64,102393.36642857143
E14001197,20618.628,2695.56,71849.93
E14001198,28364.02,3443.4,99601.30714285714
E14001199,18422.526,2483.52,63981.39928571429
E14001200,25624.796000000002,3178.92,89786.79571428572
E14001201,23499.536,2973.7200000000003,82172.08857142858
E14001202,23381.466,2962.32,81749.04928571431
E14001203,20949.224000000002,2727.48,73034.44
E14001204,30017,3603,105523.85714285714
E14001205,70132.5,7481,249244
E14001206,29048.826000000005,3509.52,102054.93500000001
E14001207,70132.5,7481,249244
E14001208,70132.5,7481,249244
E14001209,70132.5,7481,249244
E14001210,28741.843999999997,3479.8799999999997,100955.03285714285
E14001211,20831.154,2716.08,72611.40071428572
E14001212,19367.086,2574.72,67365.71357142857
E14001063,29804.474000000002,3582.48,104762.38642857144
E14001064,29946.158,3596.16,105270.03357142858
E14001065,29828.088,3584.7599999999998,104846.99428571427
E14001066,25553.953999999998,3172.08,89532.97214285714
E14001067,9756.188000000002,1646.76,32930.315714285716
E14001068,28741.843999999997,3479.8799999999997,100955.03285714285
E14001069,24349.640000000003,3055.8,85217.97142857143
E14001070,29946.158,3596.16,105270.03357142858
E14001071,24302.412,3051.2400000000002,85048.75571428573
E14001072,19697.682,2606.64,68550.22357142856
E14001073,70132.5,7481,249244
E14001074,27631.986,3372.7200000000003,96978.46357142858
E14001075,29591.948,3561.9599999999996,104000.91571428571
E14001076,22625.818,2889.3600000000006,79041.59785714286
E14001077,29922.544,3593.88,105185.42571428572
E14001078,28576.546000000002,3463.92,100362.77785714286
E14001079,22224.38,2850.6000000000004,77603.2642857143
E14001080,29804.474000000002,3582.48,104762.38642857144
E14001081,70132.5,7481,249244
E14001082,29119.668,3516.36,102308.75857142858
