PCON25CD,PCON25NM,total_population_PC,mean_imd_ranking,median_imd_lsoa_ranking,median_imd_decile,total_number_of_LSOAs,number_of_LSOAs_with_decile_equal_1,pct_decile_equal_1,number_of_LSOAs_with_decile_equal_10,pct_decile_equal_10,new_ranking
E14001338,Liverpool Riverside,115804,6688.138237884702,2066,1,61,41,67.21311475409836,0,0,1
E14001339,Liverpool Walton,100387,6000.633548168587,2159,1,67,41,61.19402985074627,0,0,2
E14001096,Birmingham Ladywood,147005,5274.225502533927,2399,1,75,53,70.66666666666667,0,0,3
E14001118,Bradford East,121212,7322.653685278685,2840,1,66,38,57.57575757575758,0,0,4
E14001323,Leeds South,125407,6648.027482516925,2895,1,73,46,63.013698630136986,0,0,5
E14001317,Knowsley,93751,7244.836513743853,2969,1,58,32,55.172413793103445,0,0,6
E14001095,Birmingham Hodge Hill and Solihull North,120572,6243.100711608002,3009,1,68,43,63.23529411764706,0,0,7
E14001466,Sheffield Brightside and Hillsborough,114251,6926.3995282317,3211,1,68,42,61.76470588235294,0,0,8
E14001367,Middlesbrough and Thornaby East,112647,9643.59898621357,3228,1,67,39,58.2089552238806,0,0,9
E14001105,Blackpool South,110156,6189.053047496278,3452,1,74,38,51.35135135135135,0,0,10
E14001562,Walsall and Bloxwich,112548,7478.114368980346,3661,1,64,35,54.6875,1,1.5625,11
E14001093,Birmingham Erdington,119427,6393.9645766870135,3866,1,70,36,51.42857142857142,0,0,12
E14001313,Kingston upon Hull East,108712,9778.437729965413,4283,1,69,35,50.72463768115942,0,0,13
E14001098,Birmingham Perry Barr,114311,7258.82384022535,4390,2,66,32,48.484848484848484,0,0,14
E14001103,Blackley and Middleton South,109459,7230.460711316566,4392,1,61,28,45.90163934426229,0,0,15
E14001341,Liverpool West Derby,98659,7312.632866743024,4612,2,64,30,46.875,0,0,16
E14001111,Bolton South and Walkden,122273,7294.713636698208,4719,2,69,26,37.68115942028986,0,0,17
E14001113,Bootle,101736,8665.723578674215,4848,2,69,33,47.82608695652174,0,0,18
E14001251,Gorton and Denton,111624,8003.5153416827925,4962,2,61,22,36.0655737704918,0,0,19
E14001100,Birmingham Yardley,117516,7151.537752306069,4967,2,64,27,42.1875,0,0,20
E14001120,Bradford West,121264,6605.122126105027,5001,2,63,27,42.857142857142854,0,0,21
E14001602,Wythenshawe and Sale East,112990,13078.050455792549,5477,2,63,26,41.269841269841265,5,7.936507936507936,22
E14001102,Blackburn,112216,9717.311599950097,5552,2,63,27,42.857142857142854,0,0,23
E14001595,Wolverhampton South East,120322,6935.922179651269,5712,2,65,19,29.230769230769234,0,0,24
E14001459,Salford,115859,9117.168126774786,5750,2,62,24,38.70967741935484,1,1.6129032258064515,25
E14001097,Birmingham Northfield,105546,8965.20227673242,5803,2,66,27,40.909090909090914,0,0,26
E14001142,Burnley,111108,10445.634378262592,5921,2,69,27,39.130434782608695,0,0,27
E14001416,"Oldham West, Chadderton and Royton",110917,11090.603122154404,5989,2,64,22,34.375,0,0,28
E14001411,Nottingham North and Kimberley,107121,10752.407333762754,6158,2,66,26,39.39393939393939,0,0,29
E14001320,Leeds East,113390,12578.380558250286,6280,2,67,31,46.26865671641791,2,2.9850746268656714,30
E14001194,Derby South,117884,11694.130306063587,6386,2,65,20,30.76923076923077,3,4.615384615384616,31
E14001352,Manchester Central,117589,8095.032966518977,6453,2,64,26,40.625,0,0,32
E14001091,Birkenhead,103417,11342.39245481884,6805,2,65,29,44.61538461538462,1,1.5384615384615385,33
W07000084,Blaenau Gwent and Rhymney,96885,8348.662243897405,6852,2,65,20,30.76923076923077,0,0,34
E14001547,Tipton and Wednesbury,112029,7971.617420489338,7149,2,64,21,32.8125,0,0,35
