area_codes,air_source_heat_pumps,ground_source_heat_pumps,hybrid_heat_pumps,ECO_total_heat_pumps
K03000001,45478,590,650,46718
E92000001,20403,586,386,21375
E12000001,1349,0,71,1420
E14001101,187,0,6,193
E14001106,35,0,0,35
E14001107,28,0,3,31
E14001173,50,0,3,53
E14001183,10,0,0,10
E14001190,45,0,12,57
E14001211,65,0,3,68
E14001244,6,0,3,9
E14001272,115,0,3,118
E14001285,208,0,0,208
E14001295,19,0,3,22
E14001307,6,0,3,9
E14001367,42,0,8,50
E14001368,6,0,3,9
E14001377,17,0,3,20
E14001378,11,0,0,11
E14001379,3,0,3,6
E14001382,6,0,3,9
E14001389,6,0,3,9
E14001397,239,0,0,239
E14001440,28,0,0,28
E14001492,6,0,3,9
E14001518,18,0,10,28
E14001519,12,0,7,19
E14001531,6,0,3,9
E14001557,10,0,3,13
E14001567,15,0,0,15
E12000002,3462,6,101,3569
E14001065,24,0,3,27
E14001070,6,3,0,9
E14001076,99,0,0,99
E14001091,6,0,3,9
E14001102,88,0,0,88
E14001103,6,0,3,9
E14001104,6,0,0,6
E14001105,61,0,0,61
E14001110,102,0,3,105
E14001111,6,0,3,9
E14001112,6,0,3,9
E14001113,30,0,3,33
E14001142,6,0,3,9
E14001144,45,0,0,45
E14001145,81,0,3,84
E14001152,102,0,3,105
E14001158,19,0,3,22
E14001163,29,0,0,29
E14001164,113,0,0,113
E14001170,22,0,0,22
E14001178,35,0,0,35
E14001185,6,0,3,9
E14001222,6,0,3,9
E14001242,6,0,0,6
E14001251,128,0,6,134
E14001277,18,0,3,21
E14001286,6,0,3,9
E14001299,74,0,3,77
E14001317,6,0,3,9
E14001318,6,0,0,6
E14001329,6,0,3,9
E14001337,11,0,3,14
E14001338,6,0,3,9
E14001339,6,0,3,9
E14001340,6,0,3,9
E14001341,54,0,5,59
E14001347,31,0,3,34
E14001350,6,0,3,9
E14001352,6,0,3,9
E14001353,46,0,0,46
E14001354,6,0,0,6
E14001361,20,0,0,20
E14001372,36,0,3,39
E14001415,6,0,3,9
E14001416,19,0,3,22
E14001422,59,0,6,65
E14001424,238,0,3,241
E14001433,30,0,0,30
E14001443,41,0,3,44
E14001446,6,0,3,9
E14001450,41,0,3,44
E14001455,6,0,3,9
E14001459,6,3,0,9
E14001463,48,0,3,51
E14001491,14,0,0,14
E14001504,42,0,0,42
E14001509,31,0,0,31
E14001510,21,6,3,30
E14001515,6,0,3,9
E14001517,25,0,3,28
E14001528,42,0,3,45
E14001539,46,0,3,49
E14001561,67,0,3,70
E14001564,10,0,0,10
E14001565,12,0,0,12
E14001577,42,0,3,45
E14001580,198,0,0,198
E14001583,77,0,0,77
E14001584,23,0,0,23
E14001585,6,0,3,9
E14001589,28,0,3,31
E14001598,6,0,3,9
E14001602,6,0,3,9
E12000003,2120,564,85,2769
E14001074,6,0,3,9
E14001075,56,0,5,61
E14001087,60,0,0,60
E14001118,49,0,3,52
E14001119,47,0,3,50
E14001120,64,0,3,67
E14001127,6,0,3,9
E14001128,64,0,0,64
E14001147,6,0,0,6
E14001177,13,0,3,16
E14001196,6,0,3,9
E14001198,6,0,3,9
E14001199,62,0,3,65
E14001200,6,0,3,9
E14001250,29,0,0,29
E14001255,6,0,3,9
E14001262,6,0,3,9
E14001269,3,0,3,6
E14001297,6,0,3,9
E14001308,28,0,3,31
E14001313,17,0,0,17
E14001314,6,0,0,6
E14001315,29,0,0,29
E14001319,10,44,3,57
E14001320,43,73,3,119
E14001321,10,0,3,13
E14001322,5,0,0,5
E14001323,68,6,0,74
E14001324,12,3,3,18
E14001325,6,420,3,429
E14001383,16,0,0,16
E14001418,6,0,3,9
E14001423,6,0,0,6
E14001428,19,0,0,19
E14001436,6,0,3,9
E14001444,39,0,3,42
E14001451,51,0,6,57
E14001452,126,0,6,132
E14001461,40,0,0,40
E14001462,6,0,3,9
E14001464,31,0,0,31
E14001466,72,0,6,78
E14001467,15,0,3,18
E14001468,6,0,0,6
E14001469,12,0,0,12
E14001470,64,0,7,71
E14001472,6,0,3,9
E14001475,55,0,0,55
E14001506,6,0,3,9
E14001544,149,0,0,149
E14001560,6,0,3,9
E14001582,20,0,0,20
E14001604,9,0,0,9
E14001605,5,0,0,5
E12000004,2241,0,23,2264
E14001066,56,0,0,56
E14001068,6,0,3,9
E14001079,78,0,3,81
E14001109,98,0,0,98
E14001114,355,0,0,355
E14001140,6,0,3,9
E14001165,28,0,3,31
E14001179,21,0,3,24
E14001192,33,0,0,33
E14001193,22,0,0,22
E14001194,52,0,3,55
E14001195,47,0,0,47
E14001228,22,0,0,22
E14001243,142,0,0,142
E14001245,6,0,0,6
E14001253,56,0,0,56
E14001266,6,0,0,6
E14001287,23,0,0,23
E14001288,28,0,0,28
E14001311,17,0,0,17
E14001326,49,0,3,52
E14001327,6,0,3,9
E14001328,19,0,3,22
E14001336,15,0,0,15
E14001342,6,0,3,9
E14001343,194,0,0,194
E14001355,6,0,3,9
E14001357,19,0,0,19
E14001362,19,0,0,19
E14001364,6,0,3,9
E14001375,119,0,0,119
E14001391,13,0,0,13
E14001404,34,0,0,34
E14001406,11,0,0,11
E14001407,6,0,0,6
E14001410,6,0,0,6
E14001411,6,0,3,9
E14001412,18,0,0,18
E14001457,15,0,0,15
E14001458,31,0,0,31
E14001471,6,0,3,9
E14001476,92,0,3,95
E14001483,43,0,3,46
E14001487,179,0,0,179
E14001488,16,0,0,16
E14001490,20,0,0,20
E14001571,8,0,0,8
E12000005,2312,3,61,2376
E14001064,6,0,3,9
E14001092,12,0,0,12
E14001093,6,0,3,9
E14001094,25,0,6,31
E14001095,26,0,3,29
E14001096,21,0,10,31
E14001097,3,0,0,3
E14001098,39,0,3,42
E14001099,6,0,3,9
E14001100,6,0,3,9
E14001138,8,0,0,8
E14001143,71,0,5,76
E14001150,26,0,0,26
E14001180,6,0,3,9
E14001181,10,0,0,10
E14001182,6,0,3,9
E14001203,6,0,3,9
E14001204,6,0,3,9
E14001261,16,0,0,16
E14001281,91,0,0,91
E14001309,18,0,0,18
E14001316,38,0,3,41
E14001335,21,0,0,21
E14001358,8,0,0,8
E14001380,6,0,3,9
E14001395,139,0,3,142
E14001398,199,0,0,199
E14001400,29,0,0,29
E14001413,26,0,0,26
E14001441,6,0,3,9
E14001453,12,0,0,12
E14001473,92,0,0,92
E14001478,23,0,3,26
E14001479,3,0,0,3
E14001493,300,0,0,300
E14001513,127,0,0,127
E14001514,106,3,0,109
E14001520,6,0,3,9
E14001521,25,0,0,25
E14001522,73,0,3,76
E14001523,65,0,0,65
E14001524,6,0,0,6
E14001526,30,0,0,30
E14001535,7,0,0,7
E14001538,27,0,0,27
E14001541,16,0,0,16
E14001543,59,0,0,59
E14001547,11,0,0,11
E14001562,72,0,5,77
E14001566,3,0,3,6
E14001574,27,0,0,27
E14001579,43,0,3,46
E14001594,14,0,0,14
E14001595,19,0,0,19
E14001596,24,0,0,24
E14001597,20,0,0,20
E14001601,21,0,0,21
E12000006,2716,3,3,2722
E14001077,8,0,0,8
E14001084,6,0,0,6
E14001121,20,3,0,23
E14001125,10,0,0,10
E14001136,89,0,0,89
E14001139,26,0,0,26
E14001146,29,0,0,29
E14001149,3,0,0,3
E14001154,9,0,0,9
E14001156,28,0,0,28
E14001159,6,0,0,6
E14001174,146,0,0,146
E14001176,7,0,0,7
E14001206,6,0,0,6
E14001224,47,0,0,47
E14001226,8,0,0,8
E14001256,90,0,0,90
E14001267,3,0,0,3
E14001268,5,0,0,5
E14001273,31,0,0,31
E14001278,3,0,0,3
E14001283,3,0,0,3
E14001284,3,0,0,3
E14001289,11,0,0,11
E14001298,27,0,0,27
E14001302,10,0,0,10
E14001344,50,0,0,50
E14001345,6,0,3,9
E14001346,68,0,0,68
E14001351,23,0,0,23
