PCON25CD,year,households_per_pc
E14001063,2022,46170
E14001063,2023,46862
E14001063,2024,47499
E14001063,2025,47934
E14001063,2026,48320
E14001063,2027,48732
E14001063,2028,49154
E14001063,2029,49600
E14001063,2030,50042
E14001063,2031,50472
E14001063,2032,50912
E14001063,2033,51349
E14001063,2034,51782
E14001063,2035,52208
E14001063,2036,52623
E14001063,2037,53041
E14001063,2038,53451
E14001063,2039,53847
E14001063,2040,54228
E14001063,2041,54610
E14001063,2042,54977
E14001063,2043,55335
E14001063,2044,55684
E14001063,2045,56022
E14001063,2046,56354
E14001063,2047,56679
E14001063,2048,57063
E14001063,2049,57450
E14001063,2050,57839
E14001064,2022,39204
E14001064,2023,39791
E14001064,2024,40332
E14001064,2025,40702
E14001064,2026,41029
E14001064,2027,41379
E14001064,2028,41738
E14001064,2029,42116
E14001064,2030,42492
E14001064,2031,42857
E14001064,2032,43230
E14001064,2033,43602
E14001064,2034,43969
E14001064,2035,44331
E14001064,2036,44684
E14001064,2037,45038
E14001064,2038,45387
E14001064,2039,45722
E14001064,2040,46046
E14001064,2041,46371
E14001064,2042,46682
E14001064,2043,46986
E14001064,2044,47282
E14001064,2045,47569
E14001064,2046,47852
E14001064,2047,48128
E14001064,2048,48454
E14001064,2049,48782
E14001064,2050,49112
E14001065,2022,40766
E14001065,2023,41377
E14001065,2024,41939
E14001065,2025,42324
E14001065,2026,42664
E14001065,2027,43028
E14001065,2028,43401
E14001065,2029,43794
E14001065,2030,44185
E14001065,2031,44565
E14001065,2032,44953
E14001065,2033,45339
E14001065,2034,45721
E14001065,2035,46097
E14001065,2036,46464
E14001065,2037,46833
E14001065,2038,47195
E14001065,2039,47544
E14001065,2040,47880
E14001065,2041,48218
E14001065,2042,48542
E14001065,2043,48858
E14001065,2044,49166
E14001065,2045,49465
E14001065,2046,49758
E14001065,2047,50045
E14001065,2048,50384
E14001065,2049,50726
E14001065,2050,51069
E14001066,2022,40414
E14001066,2023,41020
E14001066,2024,41577
E14001066,2025,41958
E14001066,2026,42296
E14001066,2027,42656
E14001066,2028,43026
E14001066,2029,43416
E14001066,2030,43803
E14001066,2031,44180
E14001066,2032,44564
E14001066,2033,44947
E14001066,2034,45326
E14001066,2035,45699
E14001066,2036,46063
E14001066,2037,46428
E14001066,2038,46787
E14001066,2039,47134
E14001066,2040,47467
E14001066,2041,47802
E14001066,2042,48123
E14001066,2043,48436
E14001066,2044,48741
E14001066,2045,49037
E14001066,2046,49329
E14001066,2047,49613
E14001066,2048,49949
E14001066,2049,50288
E14001066,2050,50628
E14001067,2022,42253
E14001067,2023,42886
E14001067,2024,43469
E14001067,2025,43867
E14001067,2026,44220
E14001067,2027,44597
E14001067,2028,44984
E14001067,2029,45392
E14001067,2030,45796
E14001067,2031,46190
E14001067,2032,46592
E14001067,2033,46993
E14001067,2034,47389
E14001067,2035,47779
E14001067,2036,48159
E14001067,2037,48541
E14001067,2038,48916
E14001067,2039,49278
E14001067,2040,49627
E14001067,2041,49977
E14001067,2042,50313
E14001067,2043,50640
E14001067,2044,50959
E14001067,2045,51269
E14001067,2046,51573
E14001067,2047,51871
E14001067,2048,52222
E14001067,2049,52576
E14001067,2050,52932
E14001068,2022,40935
E14001068,2023,41548
E14001068,2024,42113
E14001068,2025,42499
E14001068,2026,42841
E14001068,2027,43206
E14001068,2028,43581
E14001068,2029,43976
E14001068,2030,44368
E14001068,2031,44750
E14001068,2032,45139
E14001068,2033,45527
E14001068,2034,45911
E14001068,2035,46289
E14001068,2036,46657
E14001068,2037,47027
E14001068,2038,47391
E14001068,2039,47741
E14001068,2040,48079
E14001068,2041,48418
E14001068,2042,48743
E14001068,2043,49060
E14001068,2044,49370
E14001068,2045,49670
E14001068,2046,49965
E14001068,2047,50253
E14001068,2048,50593
E14001068,2049,50936
E14001068,2050,51281
E14001069,2022,42352
E14001069,2023,42987
E14001069,2024,43571
E14001069,2025,43970
E14001069,2026,44324
E14001069,2027,44702
E14001069,2028,45090
E14001069,2029,45498
E14001069,2030,45904
E14001069,2031,46299
E14001069,2032,46701
E14001069,2033,47103
E14001069,2034,47500
E14001069,2035,47891
E14001069,2036,48272
E14001069,2037,48655
E14001069,2038,49031
E14001069,2039,49394
E14001069,2040,49743
E14001069,2041,50094
E14001069,2042,50431
E14001069,2043,50759
E14001069,2044,51079
E14001069,2045,51389
E14001069,2046,51694
E14001069,2047,51992
E14001069,2048,52345
E14001069,2049,52699
E14001069,2050,53056
E14001070,2022,42224
E14001070,2023,42857
E14001070,2024,43439
E14001070,2025,43837
E14001070,2026,44190
E14001070,2027,44567
E14001070,2028,44953
E14001070,2029,45361
E14001070,2030,45765
E14001070,2031,46159
E14001070,2032,46560
E14001070,2033,46960
E14001070,2034,47357
E14001070,2035,47746
E14001070,2036,48126
E14001070,2037,48508
E14001070,2038,48883
E14001070,2039,49244
E14001070,2040,49593
E14001070,2041,49943
E14001070,2042,50278
E14001070,2043,50605
E14001070,2044,50924
E14001070,2045,51234
E14001070,2046,51538
E14001070,2047,51835
E14001070,2048,52186
E14001070,2049,52540
E14001070,2050,52896
E14001071,2022,44191
E14001071,2023,44853
E14001071,2024,45463
E14001071,2025,45879
E14001071,2026,46249
E14001071,2027,46643
E14001071,2028,47048
E14001071,2029,47474
E14001071,2030,47897
E14001071,2031,48309
E14001071,2032,48729
E14001071,2033,49148
E14001071,2034,49563
E14001071,2035,49970
E14001071,2036,50368
E14001071,2037,50767
E14001071,2038,51160
E14001071,2039,51539
E14001071,2040,51903
E14001071,2041,52269
E14001071,2042,52620
E14001071,2043,52963
E14001071,2044,53297
E14001071,2045,53620
E14001071,2046,53939
E14001071,2047,54250
E14001071,2048,54617
E14001071,2049,54987
E14001071,2050,55360
E14001072,2022,42521
E14001072,2023,43158
E14001072,2024,43745
E14001072,2025,44146
E14001072,2026,44501
E14001072,2027,44880
E14001072,2028,45270
E14001072,2029,45680
E14001072,2030,46087
E14001072,2031,46483
E14001072,2032,46888
E14001072,2033,47291
E14001072,2034,47690
E14001072,2035,48082
E14001072,2036,48464
E14001072,2037,48849
E14001072,2038,49227
E14001072,2039,49591
E14001072,2040,49942
E14001072,2041,50294
E14001072,2042,50632
E14001072,2043,50961
E14001072,2044,51283
E14001072,2045,51594
E14001072,2046,51900
E14001072,2047,52200
E14001072,2048,52553
E14001072,2049,52909
E14001072,2050,53268
E14001073,2022,44607
E14001073,2023,45275
E14001073,2024,45891
E14001073,2025,46311
E14001073,2026,46684
E14001073,2027,47082
E14001073,2028,47490
E14001073,2029,47921
E14001073,2030,48348
E14001073,2031,48764
E14001073,2032,49188
E14001073,2033,49611
E14001073,2034,50029
E14001073,2035,50441
E14001073,2036,50842
E14001073,2037,51245
E14001073,2038,51642
E14001073,2039,52024
E14001073,2040,52392
E14001073,2041,52761
E14001073,2042,53116
E14001073,2043,53461
E14001073,2044,53798
E14001073,2045,54125
E14001073,2046,54447
E14001073,2047,54761
E14001073,2048,55132
E14001073,2049,55505
E14001073,2050,55881
E14001074,2022,45994
E14001074,2023,46683
E14001074,2024,47318
E14001074,2025,47751
E14001074,2026,48136
E14001074,2027,48546
E14001074,2028,48967
E14001074,2029,49411
E14001074,2030,49851
E14001074,2031,50280
E14001074,2032,50717
E14001074,2033,51153
E14001074,2034,51585
E14001074,2035,52009
E14001074,2036,52423
E14001074,2037,52839
E14001074,2038,53247
E14001074,2039,53641
E14001074,2040,54021
E14001074,2041,54402
E14001074,2042,54767
E14001074,2043,55124
E14001074,2044,55471
E14001074,2045,55808
E14001074,2046,56140
E14001074,2047,56463
E14001074,2048,56846
E14001074,2049,57231
E14001074,2050,57619
E14001075,2022,46649
E14001075,2023,47348
E14001075,2024,47991
E14001075,2025,48431
E14001075,2026,48821
E14001075,2027,49237
E14001075,2028,49664
E14001075,2029,50114
E14001075,2030,50561
E14001075,2031,50996
E14001075,2032,51440
E14001075,2033,51882
E14001075,2034,52319
E14001075,2035,52750
E14001075,2036,53169
E14001075,2037,53591
E14001075,2038,54006
E14001075,2039,54405
E14001075,2040,54790
E14001075,2041,55177
E14001075,2042,55547
E14001075,2043,55909
E14001075,2044,56261
E14001075,2045,56603
E14001075,2046,56939
E14001075,2047,57268
E14001075,2048,57655
E14001075,2049,58046
E14001075,2050,58439
E14001076,2022,44944
E14001076,2023,45617
E14001076,2024,46237
E14001076,2025,46661
E14001076,2026,47037
E14001076,2027,47438
E14001076,2028,47849
E14001076,2029,48283
E14001076,2030,48713
E14001076,2031,49132
E14001076,2032,49560
E14001076,2033,49985
E14001076,2034,50407
E14001076,2035,50822
E14001076,2036,51226
E14001076,2037,51632
E14001076,2038,52032
E14001076,2039,52417
E14001076,2040,52788
E14001076,2041,53160
E14001076,2042,53517
E14001076,2043,53865
E14001076,2044,54205
E14001076,2045,54534
E14001076,2046,54858
E14001076,2047,55174
E14001076,2048,55548
E14001076,2049,55924
E14001076,2050,56303
E14001077,2022,43535
E14001077,2023,44187
E14001077,2024,44788
E14001077,2025,45198
E14001077,2026,45562
E14001077,2027,45951
E14001077,2028,46349
E14001077,2029,46769
E14001077,2030,47186
E14001077,2031,47592
E14001077,2032,48006
E14001077,2033,48418
E14001077,2034,48827
E14001077,2035,49229
E14001077,2036,49620
E14001077,2037,50014
E14001077,2038,50401
E14001077,2039,50773
E14001077,2040,51133
E14001077,2041,51493
E14001077,2042,51839
E14001077,2043,52176
E14001077,2044,52506
E14001077,2045,52824
E14001077,2046,53138
E14001077,2047,53445
E14001077,2048,53807
E14001077,2049,54171
E14001077,2050,54538
E14001078,2022,45584
E14001078,2023,46267
E14001078,2024,46896
E14001078,2025,47326
E14001078,2026,47707
E14001078,2027,48113
E14001078,2028,48531
E14001078,2029,48970
E14001078,2030,49407
E14001078,2031,49832
E14001078,2032,50265
E14001078,2033,50697
E14001078,2034,51125
E14001078,2035,51546
E14001078,2036,51955
E14001078,2037,52368
E14001078,2038,52773
E14001078,2039,53163
E14001078,2040,53539
E14001078,2041,53917
E14001078,2042,54279
E14001078,2043,54632
E14001078,2044,54977
E14001078,2045,55311
E14001078,2046,55639
E14001078,2047,55960
E14001078,2048,56339
E14001078,2049,56721
E14001078,2050,57105
E14001079,2022,45676
E14001079,2023,46360
E14001079,2024,46990
E14001079,2025,47421
E14001079,2026,47803
E14001079,2027,48210
E14001079,2028,48629
E14001079,2029,49069
E14001079,2030,49507
E14001079,2031,49932
E14001079,2032,50367
E14001079,2033,50800
E14001079,2034,51228
E14001079,2035,51650
E14001079,2036,52060
E14001079,2037,52473
E14001079,2038,52879
E14001079,2039,53270
E14001079,2040,53647
E14001079,2041,54026
E14001079,2042,54389
E14001079,2043,54742
E14001079,2044,55088
E14001079,2045,55422
E14001079,2046,55751
E14001079,2047,56073
E14001079,2048,56453
E14001079,2049,56835
E14001079,2050,57220
E14001080,2022,42099
E14001080,2023,42730
E14001080,2024,43310
E14001080,2025,43708
E14001080,2026,44059
E14001080,2027,44435
E14001080,2028,44820
E14001080,2029,45226
E14001080,2030,45630
E14001080,2031,46022
E14001080,2032,46422
E14001080,2033,46821
E14001080,2034,47216
E14001080,2035,47605
E14001080,2036,47983
E14001080,2037,48364
E14001080,2038,48738
E14001080,2039,49099
E14001080,2040,49446
E14001080,2041,49795
E14001080,2042,50129
E14001080,2043,50455
E14001080,2044,50774
E14001080,2045,51082
E14001080,2046,51385
E14001080,2047,51682
E14001080,2048,52032
E14001080,2049,52384
E14001080,2050,52739
E14001081,2022,47736
E14001081,2023,48451
E14001081,2024,49110
E14001081,2025,49560
E14001081,2026,49959
E14001081,2027,50385
E14001081,2028,50822
E14001081,2029,51282
E14001081,2030,51739
E14001081,2031,52184
E14001081,2032,52638
E14001081,2033,53091
E14001081,2034,53539
E14001081,2035,53979
E14001081,2036,54408
E14001081,2037,54840
E14001081,2038,55264
E14001081,2039,55673
E14001081,2040,56067
E14001081,2041,56462
E14001081,2042,56842
E14001081,2043,57211
E14001081,2044,57572
E14001081,2045,57922
E14001081,2046,58266
E14001081,2047,58602
E14001081,2048,58999
E14001081,2049,59398
E14001081,2050,59801
E14001082,2022,39299
E14001082,2023,39888
E14001082,2024,40430
E14001082,2025,40801
E14001082,2026,41129
E14001082,2027,41480
E14001082,2028,41839
E14001082,2029,42218
E14001082,2030,42595
E14001082,2031,42961
E14001082,2032,43335
E14001082,2033,43707
E14001082,2034,44076
E14001082,2035,44439
E14001082,2036,44792
E14001082,2037,45147
E14001082,2038,45497
E14001082,2039,45833
E14001082,2040,46157
E14001082,2041,46483
E14001082,2042,46795
E14001082,2043,47100
E14001082,2044,47397
E14001082,2045,47685
E14001082,2046,47968
E14001082,2047,48244
E14001082,2048,48571
E14001082,2049,48900
E14001082,2050,49231
E14001083,2022,46400
E14001083,2023,47095
E14001083,2024,47735
