LSOA21CD,total_population
E01011949,1870
E01011950,1097
E01011951,1241
E01011952,1615
E01011953,1982
E01011954,2359
E01011955,1280
E01011957,1223
E01011959,3075
E01011960,1276
E01011961,1419
E01011962,1388
E01011963,1370
E01011964,1367
E01011965,1606
E01011966,1279
E01011967,1500
E01011968,2069
E01011969,1343
E01011970,1070
E01011971,1301
E01011974,1531
E01011975,1055
E01011977,1742
E01011978,1662
E01011979,1505
E01011980,1795
E01011981,1826
E01011982,1785
E01011983,1695
E01011984,1251
E01011985,1255
E01011986,1245
E01011987,1386
E01011988,1825
E01011989,1934
E01011990,1853
E01011991,1678
E01011992,1945
E01011993,1781
E01011994,1456
E01011995,1273
E01011996,1430
E01011997,1907
E01011998,2193
E01011999,1923
E01012000,1276
E01012001,2103
E01012002,1440
E01012003,1725
E01012005,1876
E01032540,1011
E01032541,2124
E01033465,1963
E01033466,2407
E01033467,2298
E01035188,1963
E01012007,1449
E01012008,1399
E01012009,1967
E01012010,1517
E01012011,2060
E01012012,1750
E01012013,1498
E01012014,1631
E01012015,1489
E01012016,1790
E01012017,1500
E01012018,1626
E01012019,1165
E01012020,1548
E01012021,1353
E01012022,3133
E01012023,1541
E01012024,1644
E01012025,1282
E01012026,2179
E01012027,2047
E01012030,1367
E01012031,1468
E01012032,1714
E01012033,1179
E01012034,1365
E01012035,1224
E01012036,1709
E01012037,1580
E01012038,1520
E01012039,1640
E01012040,1470
E01012041,1143
E01012042,1320
E01012043,1261
E01012044,1494
E01012045,1424
E01012046,2153
E01012047,1621
E01012048,1821
E01012049,1264
E01012050,1422
E01012051,1266
E01012052,1227
E01012053,1805
E01012054,1837
E01012055,1962
E01012056,2443
E01012057,1974
E01012058,1853
E01012059,1748
E01012060,1671
E01012061,1211
E01012062,1908
E01012063,1399
E01012065,1907
E01012066,1963
E01012067,1583
E01012068,2091
E01012071,1419
E01012073,1398
E01012074,1524
E01012075,1582
E01012076,1385
E01012077,1497
E01012078,1659
E01012079,1424
E01012080,1196
E01012081,1798
E01012082,1568
E01012083,1652
E01012084,1645
E01012085,1616
E01012088,1740
E01012089,1601
E01012090,1472
E01012091,2069
E01012092,2139
E01012093,2113
E01032552,1622
E01032593,2656
E01033469,2280
E01035189,1394
E01035190,1863
E01035191,1849
E01035192,1399
E01035193,1778
E01035194,1509
E01035195,1908
E01035196,1253
E01012095,1214
E01012096,1407
E01012097,1070
E01012098,1548
E01012099,1530
E01012100,1429
E01012101,1545
E01012102,2127
E01012105,1423
E01012106,1353
E01012107,1352
E01012108,1401
E01012109,1271
E01012110,1283
E01012111,1323
E01012112,1470
E01012113,1416
E01012114,1435
E01012117,2094
E01012118,1306
E01012119,2102
E01012120,1223
E01012121,1311
E01012124,1535
E01012127,1094
E01012128,1372
E01012129,2414
E01012130,1235
E01012131,1436
E01012132,1910
E01012134,1339
E01012136,1362
E01012137,1397
E01012138,2929
E01012139,1746
E01012140,1327
E01012141,1089
E01012142,1625
E01012143,1483
E01012144,1372
E01012145,1418
E01012146,1082
E01012147,1744
E01012148,1448
E01012149,1307
E01012150,1562
E01012151,1405
E01012152,1817
E01012154,1098
E01012155,1847
E01012156,1562
E01012157,1616
E01012158,1513
E01012159,1287
E01012160,1524
E01012161,1472
E01012162,1340
E01012163,2406
E01012164,1547
E01012165,2382
E01012167,2121
E01012168,2005
E01012170,1288
E01012171,1412
E01012172,1272
E01012173,1127
E01012174,1136
E01012175,1374
E01012176,1418
E01012177,1371
E01012178,1339
E01012179,2098
E01012180,1651
