LSOA21CD,number_of_households
E01000001,838
E01000002,824
E01000003,1017
E01000005,480
E01000006,554
E01000007,1191
E01000008,548
E01000009,601
E01000011,473
E01000012,783
E01000013,619
E01000014,634
E01000015,835
E01000016,627
E01000017,598
E01000018,645
E01000019,499
E01000020,664
E01000021,591
E01000022,479
E01000024,459
E01000025,694
E01000027,662
E01000028,621
E01000029,681
E01000030,906
E01000031,595
E01000032,723
E01000033,552
E01000034,514
E01000035,595
E01000036,471
E01000037,589
E01000038,564
E01000039,642
E01000040,656
E01000041,602
E01000042,655
E01000043,470
E01000044,660
E01000045,577
E01000046,661
E01000049,575
E01000050,631
E01000051,433
E01000052,796
E01000053,651
E01000054,640
E01000055,567
E01000056,563
E01000057,530
E01000058,699
E01000059,570
E01000060,810
E01000061,752
E01000062,766
E01000063,623
E01000064,795
E01000065,783
E01000066,709
E01000067,660
E01000068,477
E01000069,536
E01000070,578
E01000071,806
E01000072,739
E01000073,665
E01000074,625
E01000075,640
E01000076,794
E01000077,593
E01000078,619
E01000079,622
E01000080,608
E01000081,653
E01000082,697
E01000083,633
E01000084,501
E01000085,576
E01000086,488
E01000087,518
E01000088,603
E01000089,601
E01000090,558
E01000091,672
E01000093,664
E01000094,843
E01000095,737
E01000096,484
E01000097,685
E01000098,622
E01000099,934
E01000100,656
E01000101,582
E01000102,629
E01000103,533
E01000104,693
E01000105,935
E01000106,872
E01000107,603
E01000108,685
E01000110,522
E01000111,748
E01000112,700
E01000113,642
E01000114,757
E01000115,478
E01000116,618
E01000117,694
E01000118,751
E01000119,629
E01000120,497
E01000121,525
E01000122,519
E01000123,731
E01000124,793
E01000126,769
E01000127,516
E01000128,633
E01000129,574
E01000130,658
E01000131,713
E01000132,505
E01000133,578
E01000134,635
E01000135,626
E01000136,564
E01000137,673
E01000138,654
E01000139,540
E01000140,867
E01000141,788
E01000142,892
E01000143,679
E01000144,743
E01000145,488
E01000146,868
E01000147,560
E01000150,775
E01000151,656
E01000152,927
E01000153,742
E01000154,707
E01000156,748
E01000157,667
E01000158,546
E01000159,649
E01000160,802
E01000161,808
E01000162,551
E01000163,799
E01000164,647
E01000165,709
E01000166,653
E01000167,522
E01000168,558
E01000169,694
E01000170,697
E01000171,997
E01000172,607
E01000173,608
E01000174,765
E01000175,643
E01000176,720
E01000177,692
E01000178,677
E01000179,771
E01000180,669
E01000181,685
E01000182,731
E01000183,603
E01000184,710
E01000185,643
E01000186,510
E01000187,593
E01000188,509
E01000189,981
E01000190,569
E01000191,555
E01000192,710
E01000193,711
E01000194,704
E01000195,719
E01000196,1092
E01000197,731
E01000198,779
E01000199,657
E01000200,875
E01000201,526
E01000202,616
E01000203,684
E01000204,693
E01000205,605
E01000206,523
E01000207,644
E01000208,635
E01000209,742
E01000210,585
E01000211,925
E01000212,552
E01000213,452
E01000214,772
E01000215,707
E01000216,721
E01000217,553
E01000218,583
E01000219,659
E01000220,681
E01000221,528
E01000222,730
E01000223,746
E01000224,557
E01000225,578
E01000226,601
E01000227,599
E01000228,459
E01000229,584
E01000230,659
E01000231,619
E01000232,705
E01000233,658
E01000234,674
E01000235,655
E01000236,698
E01000237,727
E01000238,644
E01000239,934
E01000240,626
E01000241,702
E01000242,595
E01000243,901
E01000244,625
E01000245,877
E01000246,643
E01000247,731
E01000248,718
E01000249,619
E01000250,1145
E01000251,1057
E01000252,793
E01000253,707
E01000254,633
E01000255,632
E01000256,677
E01000257,912
E01000258,781
E01000259,981
E01000260,840
E01000261,678
E01000263,501
E01000264,715
E01000265,771
E01000266,507
E01000267,579
E01000268,932
E01000269,546
E01000270,635
E01000271,613
E01000272,498
E01000273,742
E01000274,698
E01000275,666
E01000276,496
E01000277,746
E01000278,503
E01000279,508
E01000280,508
E01000281,782
E01000282,692
E01000283,476
E01000284,813
E01000285,612
E01000286,666
E01000287,611
E01000288,564
E01000289,548
E01000290,669
E01000291,619
E01000292,655
E01000293,707
E01000294,731
E01000295,648
E01000296,767
E01000297,540
E01000298,733
E01000299,905
E01000300,681
E01000301,530
E01000302,838
E01000303,534
E01000304,603
E01000305,652
E01000306,618
E01000307,553
E01000308,959
E01000309,709
E01000310,845
E01000311,519
E01000312,721
E01000313,711
E01000314,781
E01000315,634
E01000316,889
E01000317,639
E01000318,634
E01000319,498
E01000320,809
E01000321,829
E01000322,803
E01000323,1019
E01000324,649
E01000325,585
E01000326,542
E01000327,623
E01000328,612
E01000329,658
E01000330,768
E01000331,617
E01000332,615
E01000333,810
E01000334,637
E01000335,1045
E01000336,791
E01000337,645
E01000338,692
E01000339,601
E01000340,626
E01000341,623
E01000342,634
E01000343,558
E01000344,637
E01000345,489
E01000346,617
E01000347,627
E01000348,525
E01000349,656
E01000350,523
E01000351,624
E01000352,667
E01000353,654
E01000354,607
E01000355,601
E01000356,628
E01000357,488
E01000358,665
E01000359,494
E01000360,772
E01000361,600
E01000362,777
E01000363,565
E01000364,649
E01000365,708
E01000366,659
E01000367,797
E01000368,627
E01000369,629
E01000370,634
E01000371,629
E01000372,590
E01000373,461
E01000374,523
E01000375,786
E01000376,611
E01000377,653
E01000379,670
E01000380,904
E01000381,657
E01000382,588
E01000383,626
E01000384,758
E01000385,786
E01000386,645
E01000387,625
E01000388,599
E01000389,712
E01000390,515
E01000391,639
E01000392,764
E01000393,626
E01000394,670
E01000395,546
E01000396,506
E01000398,609
E01000399,622
E01000400,591
E01000401,691
E01000402,652
E01000403,1060
E01000404,990
E01000405,564
E01000406,788
E01000407,757
E01000408,582
E01000409,654
E01000410,598
E01000411,553
E01000412,643
E01000413,524
E01000414,728
E01000415,517
E01000416,510
E01000417,704
E01000418,727
E01000419,583
E01000420,590
E01000421,598
E01000422,501
E01000423,606
E01000424,749
E01000425,607
E01000426,707
E01000427,908
E01000428,908
E01000429,710
E01000430,706
E01000431,431
E01000433,713
E01000434,574
E01000435,585
E01000436,622
E01000437,502
E01000438,602
E01000439,516
E01000440,515
E01000441,700
E01000442,626
E01000443,517
E01000444,635
E01000445,673
E01000446,596
E01000447,881
E01000448,512
E01000449,643
E01000450,633
E01000451,622
E01000452,492
E01000453,514
E01000454,629
E01000455,620
E01000456,482
E01000457,996
E01000458,686
E01000459,883
E01000460,483
E01000461,570
E01000462,833
E01000463,454
E01000464,552
E01000465,729
E01000466,600
E01000467,593
E01000468,943
E01000469,639
E01000470,528
E01000471,492
E01000472,914
E01000473,789
E01000474,520
E01000475,614
E01000476,555
E01000477,682
E01000478,716
E01000479,514
E01000480,513
E01000481,601
E01000483,657
E01000484,614
E01000485,531
E01000486,520
E01000487,697
E01000488,551
E01000489,688
E01000490,887
E01000491,864
E01000492,451
E01000493,564
E01000494,721
E01000495,782
E01000497,685
E01000498,515
E01000499,584
E01000501,759
E01000502,658
E01000503,776
E01000504,697
E01000505,570
E01000506,667
E01000507,519
E01000508,863
E01000509,456
E01000510,576
E01000511,560
E01000512,651
E01000513,468
E01000514,493
E01000515,648
E01000516,750
E01000517,489
E01000518,627
E01000519,630
E01000520,611
E01000521,921
E01000522,698
E01000523,865
E01000524,986
E01000525,758
E01000526,808
E01000527,734
E01000528,735
E01000530,674
