year,series,cumulative_installs
2023,7th Carbon Budget,148142.6528510628
2023,6th Carbon Budget,471988
2023,Actual Installations,218168
2024,7th Carbon Budget,274222.2227803872
2024,6th Carbon Budget,654737.6
2024,Actual Installations,276224
2025,7th Carbon Budget,401935.4250865843
2025,6th Carbon Budget,1020128.56
2025,Actual Installations,337440
2026,7th Carbon Budget,509551.1904067541
2026,6th Carbon Budget,1521648.48
2026,Actual Installations,NA
2027,7th Carbon Budget,659796.8769024693
2027,6th Carbon Budget,2151714.4
2027,Actual Installations,NA
2028,7th Carbon Budget,869061.765176557
2028,6th Carbon Budget,2958663.84
2028,Actual Installations,NA
2029,7th Carbon Budget,1164598.5394152622
2029,6th Carbon Budget,3890560.96
2029,Actual Installations,NA
2030,7th Carbon Budget,1582243.862539847
2030,6th Carbon Budget,4835783.04
2030,Actual Installations,NA
2031,7th Carbon Budget,2171979.0488950303
2031,6th Carbon Budget,5753431.2
2031,Actual Installations,NA
2032,7th Carbon Budget,3011692.4872403573
2032,6th Carbon Budget,6741562.96
2032,Actual Installations,NA
2033,7th Carbon Budget,4205392.253173213
2033,6th Carbon Budget,7875020.56
2033,Actual Installations,NA
2034,7th Carbon Budget,5557587.809162698
2034,6th Carbon Budget,9119140.8
2034,Actual Installations,NA
2035,7th Carbon Budget,6949042.132319771
2035,6th Carbon Budget,10344411.44
2035,Actual Installations,NA
2036,7th Carbon Budget,8435020.196109522
2036,6th Carbon Budget,11579834.64
2036,Actual Installations,NA
2037,7th Carbon Budget,9937416.506613325
2037,6th Carbon Budget,12795163.92
2037,Actual Installations,NA
2038,7th Carbon Budget,11456364.374927914
2038,6th Carbon Budget,14028863.2
2038,Actual Installations,NA
2039,7th Carbon Budget,12989210.65185409
2039,6th Carbon Budget,15304527.040000001
2039,Actual Installations,NA
2040,7th Carbon Budget,14457477.725738296
2040,6th Carbon Budget,16503797.2
2040,Actual Installations,NA
2041,7th Carbon Budget,15916182.854668792
2041,6th Carbon Budget,17764313.6
2041,Actual Installations,NA
2042,7th Carbon Budget,17345055.143855307
2042,6th Carbon Budget,18909148.72
2042,Actual Installations,NA
2043,7th Carbon Budget,18720435.513892885
2043,6th Carbon Budget,19924705.68
2043,Actual Installations,NA
2044,7th Carbon Budget,20018054.269020848
2044,6th Carbon Budget,20787685.6
2044,Actual Installations,NA
2045,7th Carbon Budget,21192729.932674732
2045,6th Carbon Budget,21573642.64
2045,Actual Installations,NA
2046,7th Carbon Budget,22192283.259317033
2046,6th Carbon Budget,22298210.88
2046,Actual Installations,NA
2047,7th Carbon Budget,22945579.812441744
2047,6th Carbon Budget,23022005.6
2047,Actual Installations,NA
2048,7th Carbon Budget,23356019.003849667
2048,6th Carbon Budget,23760897.6
2048,Actual Installations,NA
2049,7th Carbon Budget,23616127.484117363
2049,6th Carbon Budget,23906330.8
2049,Actual Installations,NA
2050,7th Carbon Budget,23857676.882980414
2050,6th Carbon Budget,23997341.28
2050,Actual Installations,NA
2020,7th Carbon Budget,NA
2020,6th Carbon Budget,69283.28
2020,Actual Installations,115303
2021,7th Carbon Budget,NA
2021,6th Carbon Budget,141612.24
2021,Actual Installations,144810
2022,7th Carbon Budget,NA
2022,6th Carbon Budget,297147.84
2022,Actual Installations,177740
