PCON25CD,model_run,year,total_damage_cost_avoided,total_damage_cost_avoided_low,total_damage_cost_avoided_high,cumulative_damage_cost_avoided,cumulative_damage_cost_avoided_low,cumulative_damage_cost_avoided_high,model_run_label
E14001063,BUS_only,2025-01-01,12149.853435047999,1460.40513696,42706.59635238,12149.853435047999,1460.40513696,42706.59635238,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2026-01-01,15106.02985969084,1815.7357801968,53097.522793472905,27255.883294738836,3276.1409171568002,95804.1191458529,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2027-01-01,19218.49996617388,2310.0522344000638,67552.8083479613,46474.38326091272,5586.193151556864,163356.9274938142,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2028-01-01,24928.461562228535,2996.386212937443,87623.25828169206,71402.84482314125,8582.579364494306,250980.18577550625,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2029-01-01,33010.40087202257,3967.830498065606,116031.18284579959,104413.24569516382,12550.409862559913,367011.36862130585,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2030-01-01,44421.48394522156,5339.435878119417,156141.00979604214,148834.72964038537,17889.84574067933,523152.378417348,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2031-01-01,60601.60013968408,7284.276195191884,213013.93381488137,209436.32978006947,25174.121935871215,736166.3122322294,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2032-01-01,83935.67040926215,10089.017525616237,295032.924874176,293372.0001893316,35263.13946148745,1031199.2371064053,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2033-01-01,117934.53806594454,14175.661141695873,414538.5572025042,411306.53825527616,49438.80060318332,1445737.7943089094,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2034-01-01,158048.09859134827,18997.287193913682,555537.2652752666,569354.6368466244,68436.087797097,2001275.0595841762,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2035-01-01,201535.70136471212,24224.471112124105,708395.6933956676,770890.3382113365,92660.55890922112,2709670.752979844,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2036-01-01,250704.93392136082,30134.583541873504,881224.985450811,1021595.2721326974,122795.14245109461,3590895.7384306546,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2037-01-01,303076.8110181789,36429.65193535727,1065311.536564127,1324672.0831508762,159224.7943864519,4656207.274994782,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2038-01-01,357669.0619537196,42991.607940068374,1257202.676414965,1682341.145104596,202216.40232652027,5913409.951409747,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2039-01-01,412621.33347824094,49596.83820486577,1450359.2845329167,2094962.4785828367,251813.24053138602,7363769.235942664,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2040-01-01,462585.5160720529,55602.503154989696,1625982.8169086478,2557547.9946548897,307415.74368637573,8989752.052851312,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2041-01-01,507988.91256751714,61059.96433605502,1785575.2381279408,3065536.907222407,368475.7080224308,10775327.290979251,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2042-01-01,547502.2844044551,65809.44806585992,1924464.289801093,3613039.1916268617,434285.1560882907,12699791.580780346,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2043-01-01,581373.09660129,69880.69949203565,2043519.808647505,4194412.288228152,504165.85558032634,14743311.38942785,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2044-01-01,605808.4159285862,72817.81030243452,2129409.677593749,4800220.704156738,576983.6658827609,16872721.0670216,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2045-01-01,615774.4908035921,74015.72655883987,2164440.3171960935,5415995.194960331,650999.3924416007,19037161.384217694,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2046-01-01,620735.7003564908,74612.06098833085,2181878.9122316544,6036730.895316821,725611.4534299315,21219040.29644935,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2047-01-01,621816.9571060423,74742.02740478677,2185679.517383251,6658547.852422863,800353.4808347183,23404719.8138326,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2048-01-01,618685.7800965796,74365.66179562152,2174673.4658809965,7277233.632519443,874719.1426303398,25579393.279713593,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2049-01-01,614173.1512041698,73823.24649399666,2158811.6267545833,7891406.783723612,948542.3891243365,27738204.90646818,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,BUS_only,2050-01-01,609340.9897894792,73242.42357375653,2141826.634454063,8500747.773513092,1021784.812698093,29880031.54092224,"Boiler Upgrade Scheme 
(non-means tested)"
E14001063,ECO_only,2025-01-01,7620.050258632,915.92549664,26784.389813420003,7620.050258632,915.92549664,26784.389813420003,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2026-01-01,9358.5541683942,1124.892629784,32895.2112425145,16978.6044270262,2040.8181264240002,59679.6010559345,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2027-01-01,11918.449591425662,1432.59053296128,41893.21447935584,28897.05401845186,3473.40865938528,101572.81553529034,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2028-01-01,15756.842150076756,1893.9630293695834,55385.12057687526,44653.89616852862,5367.3716887548635,156957.9361121656,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2029-01-01,21663.64020008487,2603.9566322827923,76147.44840290841,66317.53636861348,7971.328321037656,233105.38451507402,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2030-01-01,30824.523314552778,3705.0893192719673,108347.84814372797,97142.05968316627,11676.417640309623,341453.232658802,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2031-01-01,45122.51048873209,5423.69885057099,158605.11010688596,142264.57017189835,17100.116490880613,500058.34276568796,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2032-01-01,67980.81349542584,8171.253239734853,238951.7846594591,210245.3836673242,25271.369730615465,739010.1274251471,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2033-01-01,105382.52060233521,12666.916128345492,370418.3588731924,315627.9042696594,37938.28585896096,1109428.4862983394,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2034-01-01,155769.6863157045,18723.42339718141,547528.6720934311,471397.5905853639,56661.70925614237,1656957.1583917707,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2035-01-01,216040.72727968651,25967.96657659288,759380.6941731008,687438.3178650504,82629.67583273524,2416337.8525648713,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2036-01-01,288170.8878041887,34637.96885463404,1012917.3863496776,975609.2056692392,117267.64468736929,3429255.238914549,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2037-01-01,365949.6391675919,43986.928382803024,1286308.8109480324,1341558.844836831,161254.5730701723,4715564.049862581,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2038-01-01,442954.52434550604,53242.86965699473,1556980.1047241415,1784513.369182337,214497.44272716704,6272544.154586723,"Energy Company Obligation
 (means tested)"
E14001063,ECO_only,2039-01-01,510219.4902468208,61328.07844283481,1793415.6932488116,2294732.859429158,275825.5211700018,8065959.847835534,"Energy Company Obligation
 (means tested)"
