"","Year","percentage","Series"
"1",2010-01-01,0,"Historical"
"2",2011-01-01,0,"Historical"
"3",2012-01-01,0,"Historical"
"4",2013-01-01,0,"Historical"
"5",2014-01-01,0,"Historical"
"6",2015-01-01,0,"Historical"
"7",2016-01-01,0,"Historical"
"8",2017-01-01,0,"Historical"
"9",2018-01-01,0,"Historical"
"10",2019-01-01,0,"Historical"
"11",2020-01-01,0.59,"Historical"
"12",2021-01-01,0.59,"Historical"
"13",2022-01-01,0.59,"Historical"
"14",2023-01-01,0.59,"Historical"
"15",2025-01-01,1.58,"CCC milestone"
"16",2026-01-01,1.99,"CCC milestone"
"17",2027-01-01,2.56,"CCC milestone"
"18",2028-01-01,3.35,"CCC milestone"
"19",2029-01-01,4.46,"CCC milestone"
"20",2030-01-01,6.02,"CCC milestone"
"21",2031-01-01,8.21,"CCC milestone"
"22",2032-01-01,11.31,"CCC milestone"
"23",2033-01-01,15.69,"CCC milestone"
"24",2034-01-01,20.6,"CCC milestone"
"25",2035-01-01,25.59,"CCC milestone"
"26",2036-01-01,30.86,"CCC milestone"
"27",2037-01-01,36.12,"CCC milestone"
"28",2038-01-01,41.37,"CCC milestone"
"29",2039-01-01,46.6,"CCC milestone"
"30",2040-01-01,51.53,"CCC milestone"
"31",2041-01-01,56.36,"CCC milestone"
"32",2042-01-01,61.02,"CCC milestone"
"33",2043-01-01,65.43,"CCC milestone"
"34",2044-01-01,69.51,"CCC milestone"
"35",2045-01-01,73.11,"CCC milestone"
"36",2046-01-01,76.06,"CCC milestone"
"37",2047-01-01,78.13,"CCC milestone"
"38",2048-01-01,79.01,"CCC milestone"
"39",2049-01-01,79.37,"CCC milestone"
"40",2050-01-01,79.66,"CCC milestone"
