Gas,NFR/CRT Group,Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Carbon Dioxide as Carbon,1A1ai,Power stations,Coal,kilotonne,49949.94892,50185.84247,46898.59857,39044.70215,36854.35919,34686.77975,32618.09986,28045.02069,29136.97238,24572.55966,27706.60927,30895.23502,29131.64812,31921.9712,30712.7296,31121.81295,34396.65589,31367.58688,28327.00521,23239.66343,24508.9086,24711.16026,32945.8954,30539.31835,23397.82824,17837.21652,7411.499664,5341.928407,4001.207686,1765.120114,1421.032362,1567.975552,1376.166491,879.0304844
Carbon Dioxide as Carbon,1A1ai,Power stations,Fuel oil,kilotonne,5307.364364,3988.729873,2789.364499,2512.684757,1925.033499,1830.564563,1825.122535,942.4302489,807.5537551,839.4718369,830.1451083,866.9500035,684.9495817,640.0135865,723.6067945,584.6184631,770.4649227,625.2179687,885.3045786,670.3486195,483.9681752,340.6743022,385.664363,301.2617103,254.0885487,250.6939602,269.473511,202.6903231,201.1870215,184.7587867,143.5532059,141.2868263,138.6638879,122.814604
Carbon Dioxide as Carbon,1A1ai,Power stations,Gas oil,kilotonne,178.5157861,186.8699083,181.587758,194.5655806,205.5544552,181.8505012,193.259939,294.3837768,282.3298439,328.9310615,280.5008395,282.8095336,285.127485,290.868276,327.2240606,315.7026436,334.0804328,249.8066213,256.8532996,235.308412,228.0980844,232.2337437,225.0871514,234.5245568,237.9845858,227.0776917,211.5432715,204.5273042,217.8731681,210.8402483,189.1648151,190.9640187,177.0217975,184.0701138
Carbon Dioxide as Carbon,1A1ai,Power stations,Natural gas,kilotonne,4.352029503,10.00922309,136.7067906,2504.266297,4003.586217,5339.289573,7500.397461,10147.40578,11220.89121,13658.2927,13954.73053,13774.15838,14534.45133,14304.6282,15286.5292,14817.47635,13915.01375,16018.71318,17289.47966,16433.96515,17266.99349,13850.47004,9216.969419,8797.367352,9518.406966,9321.669343,13597.79122,12935.84158,12357.10323,12308.88579,10365.19988,11430.29059,11775.01897,9147.573931
Carbon Dioxide as Carbon,1A1ai,Power stations,Orimulsion,kilotonne,92.6125,249.755,768.385,846.0600002,733.1325,762.41,521.02,108.745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ai,Power stations,Waste oils,kilotonne,92.36480671,87.11791643,92.11431279,96.40380686,97.00718747,111.3698066,109.5979306,112.7176633,103.7217313,99.45676176,108.9745763,123.982392,130.4340729,146.0804838,163.3535548,133.9739131,-,-,-,48.74563477,55.44932769,46.94802304,39.40249381,42.77370945,41.93696385,38.90041773,38.94509481,39.58244539,35.27865543,34.21679302,28.03708775,28.06926138,26.54680497,31.18017321
Carbon Dioxide as Carbon,1A1ai,Power stations,Municipal solid waste: non-biomass fraction,kilotonne,67.15559142,69.76683016,80.61904862,101.487129,144.6460735,150.5514275,156.5408083,201.824973,240.2873416,241.6593828,279.1422021,303.4485421,327.6007229,317.9763593,310.2299474,313.8657461,345.2075923,350.1386385,359.7689966,410.3455669,434.6591923,448.8305214,548.318069,539.7755161,706.1260507,921.8228902,1125.437956,1189.209049,1364.8177,1514.620027,1552.386033,1730.408578,1721.633364,1825.477813
Carbon Dioxide as Carbon,1A1ai,Power stations,Sour gas,kilotonne,-,-,580.2031527,1479.031058,1661.301113,1716.260405,1762.87145,1402.879418,862.5300925,758.4350566,424.2943206,221.7367742,202.9725855,108.9104969,115.5761002,84.88428053,28.76831018,1.961731774,-,12.07151752,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ai,Power stations,Scrap tyres,kilotonne,-,-,-,-,24.57956432,24.57956432,38.23487784,41.87629477,30.04168973,22.75885586,7.414899193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ai,Power stations,Burning oil,kilotonne,-,-,-,-,-,-,-,0.250993418,0.250993418,0.250993418,0.250993418,0.28427873,0.2636399,0.251857552,0.260219219,13.91966378,15.90507907,6.147004,4.04351057,3.181549457,2.2937018,2.37260095,2.04930771,1.425747584,1.450636954,1.632575886,3.976631922,1.815339647,2.218385735,2.091904922,2.68199781,2.400130995,2.32194242,0.716717312
Carbon Dioxide as Carbon,1A1ai,Power stations,Petroleum coke,kilotonne,-,-,-,-,-,-,-,21.14983952,-,-,-,-,-,-,-,78.75100447,105.2881872,156.3555292,263.6431714,432.2719773,184.4933872,41.78352527,95.95127133,44.93202659,-,29.561232,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1aiii,Heat supply,Gas oil,kilotonne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1305,0.0348,0.0522,0.0522,0.0696,0.0696,0.0348
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,Fuel oil,kilotonne,1821.567,1999.872,2045.725,2113.195,2185.855,2058.7,2031.4525,2041.8832,1951.04,1528.626,1074.01875,1473.12375,1793.14928,1777.63686,1476.67605,1378.528343,871.1356394,893.8914546,623.4356476,523.42088,457.2075471,417.4569289,306.7286175,300.6671862,122.6330648,241.6808117,203.4093578,179.8032305,174.9475281,107.7616578,76.73294419,97.67485321,154.0889955,96.50270941
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,Gas oil,kilotonne,59.092,57.354,57.354,61.699,73.865,87.769,100.804,133.371,140.94,100.05,147.4563,42.0906,42.8736,173.5389,167.2488,178.8372,37.845,-,-,-,3.0102,0.5829,0.1044,-,-,-,0.0087,0.0087,0.0087,0.0087,-,0.0348,0.1044,0.0348
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,LPG,kilotonne,13.90292109,13.72767426,13.02668664,10.4563987,4.848497719,7.185123126,8.042256514,8.846482124,30.38374452,30.37862757,30.34397575,34.07950596,7.821198985,15.306512,15.62884828,34.03989935,33.65393434,33.77238783,3.807323043,3.754699625,4.386488442,9.885227422,8.015318945,5.34072924,8.585199506,7.086590694,6.60015231,7.407158462,8.756422336,5.939734347,3.370115195,9.256221308,19.44533234,14.26581015
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,Refinery miscellaneous,kilotonne,16.8,34.4,36.8,46.4,46.4,25.6,43.2,-,-,-,12.176,25.824,8.592,-,-,-,-,-,-,-,-,-,-,46.504,-,32.576,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,Naphtha,kilotonne,93.93321996,97.34921996,96.49521996,93.07921996,85.39321996,71.72921996,71.72921996,86.24721996,86.24721996,89.66321996,87.53675996,101.2947,89.08249996,82.92515996,78.11713996,74.47909996,71.72921996,71.72921996,65.94588,16.77256,65.34808,59.83124,146.39268,103.47064,86.00634,63.9219,55.96709541,66.46731677,50.2152,24.2536,-,0.83692,12.02432,16.16622
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,Natural gas,kilotonne,13.45172755,13.82462001,96.31389565,121.8183211,96.33645815,122.7288844,148.9392594,156.6970974,188.8468048,210.0132875,284.3669319,371.5393472,410.2445573,399.757788,340.1991026,546.2537449,538.3113494,572.6187159,408.3696637,410.7712966,460.8984867,493.1603091,450.0254956,415.112363,521.1678105,474.3652817,499.7791042,489.0277178,609.0180718,582.9251471,603.1214798,601.4654988,573.3191129,581.1245035
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,OPG,kilotonne,1936.665121,1887.793188,1866.571138,1990.179377,1924.982791,2059.508142,2176.328675,2052.635721,1947.523086,1889.424237,1934.275539,1750.85168,1866.871678,1688.392028,1980.479468,1925.997883,2019.013787,1934.567515,2325.492931,2218.881903,2365.409954,2338.870014,1882.522502,1971.469939,1879.059335,1768.063097,1812.681702,1844.327512,1685.395804,1644.276233,1504.816665,1368.771811,1593.283949,1437.113221
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,Petroleum coke,kilotonne,907.68,969.99,973.71,995.1,881.64,1066.71,1038.81,1100.19,1107.63,1083.45,1147.5642,866.1741,1024.9716,946.5819,940.7415,1272.598076,1338.482261,1350.173555,1281.672361,1263.262895,1275.461686,1419.18,1493.208,1159.902694,1060.0884,1094.529912,1129.112935,1111.213294,1030.355072,1078.908721,841.9941,945.1962,905.6991,1105.8351
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,Petrol,kilotonne,-,-,-,-,-,-,1.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ci,Coke production,Blast furnace gas,kilotonne,320.6258961,280.9748761,264.9683215,259.9589003,275.6274753,275.3871217,293.8775467,291.3643226,264.5398545,290.4274968,277.0701926,182.3362693,136.6051807,113.2567557,79.52280369,75.02940317,149.247191,198.3996528,193.2644383,151.4225575,200.6707345,178.3197836,179.6815729,199.6259722,191.9002528,172.2680992,172.1092748,153.0234258,162.2441821,152.9706605,149.6586431,137.7315345,130.927332,118.3929582
Carbon Dioxide as Carbon,1A1ci,Coke production,Coke oven gas,kilotonne,238.2476396,217.4995324,188.9902107,169.7263198,175.0138404,164.5452814,198.4231865,199.8644356,228.5074237,212.3430435,222.2476712,186.3397672,168.9571062,176.4903484,170.663546,170.5103939,168.9853511,166.0847616,164.2456185,167.6413248,157.9618087,143.8257085,145.4752973,138.757786,140.0320123,122.3725213,60.04609269,57.22394927,55.91877396,58.62767469,40.11404815,42.38623686,47.02367712,29.76318382
Carbon Dioxide as Carbon,1A1ci,Coke production,Colliery methane,kilotonne,1.70348861,1.70348861,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ci,Coke production,Natural gas,kilotonne,0.628400813,0.581958219,0.645404836,0.72424909,0.946918109,0.549457765,1.151463182,0.752868821,0.35223225,0.657081286,0.855921914,0.453621138,-,0.050515259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.441912383,0.397522389
Carbon Dioxide as Carbon,1A1ci,Solid smokeless fuel production,Coke,kilotonne,-,-,-,-,-,-,-,14.93769079,22.54001755,17.18884691,31.20046131,26.14900079,13.61333169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
